Beta,Order 1,Order 2,Order 3,Order 4,Order 5
0,0.002201626684609333,0.0033815644250269287,0.003571625762583545,0.003942776867519189,0.0044380598645728485
1,0.0028721046494758103,0.010049314840911233,0.018542501729507565,0.031608309386367335,0.051042571954838106
2,0.002872104649475813,0.010049314840910312,0.01854250172948519,0.031608309386190005,0.05104257196171528
3,0.0,0.008918804238157132,0.036473607419367796,0.10423527792420222,0.2504960408295997
4,0.0,0.007969734186731,0.02902389095922686,0.08130905052715054,0.1946173950964816
5,0.0,0.008918804238156339,0.03647360741931983,0.10423527792346376,0.2504960409250223
6,0.0,0.0,0.023025897712832075,0.14379594832608347,0.5672982987081313
7,0.0,0.0,0.020173222980491453,0.10966003843377725,0.41761537749283584
8,0.0,0.0,0.02017322298048897,0.10966003843383415,0.417615377472999
9,0.0,0.0,0.02302589771280676,0.14379594832513332,0.5672982990251373
10,0.0,0.0,0.0,0.06971183244564673,0.5943785382127036
11,0.0,0.0,0.0,0.06056339319599259,0.4507630259629167
12,0.0,0.0,0.0,0.05937884041601255,0.41837418217047306
13,0.0,0.0,0.0,0.06056339319599519,0.4507630259332652
14,0.0,0.0,0.0,0.06971183244527063,0.5943785385887632
15,0.0,0.0,0.0,0.0,0.23309994872731382
16,0.0,0.0,0.0,0.0,0.20135909931277624
17,0.0,0.0,0.0,0.0,0.19576622011476175
18,0.0,0.0,0.0,0.0,0.19576622011354453
19,0.0,0.0,0.0,0.0,0.20135909930060833
20,0.0,0.0,0.0,0.0,0.2330999488740219
